"","id","name","year","state_country","region","description","status","link","state","country"
"1","AB1282","Mental Health: Impacts of Social Media",2023,"California, USA","North America","This bill requires a mental health services oversight and accountability commission that, in addition to other things, must create strategy to help understand, communicate and mitigate mental health issues associated with the use of social media by children and youth.","Enacted","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1282","USA","California"
"2","AB1394","Commercial Sexual Exploitation: Child Sexual Abuse",2023,"California, USA","North America","This bill prohibits platforms from facilitating, aiding, or abetting commercial sexual exploitation of children (under 18). It also creates an accessible way to report against believed child pornography.","Enacted","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB1394","USA","California"
"3","SB287","Features that Harm Child Users: Civil Penalty",2023,"California, USA","North America","This bill prohibits a social media platform from using a design that the platform knows could cause children to experience addiction to the social media platform and requires auditing of the programs used.","Failed","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB287","USA","California"
"4","SB845","Let Parents Choose Act",2023,"California, USA","North America","This bill requires social media platforms to create a third party way of allowing parents to track their under 18 child's accounts, content, and manage their child's data.","Failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB845","USA","California"
"5","SB764","Minors: Online Platforms",2024,"California, USA","North America","This bill requires money made from vlogging (video blogging) to be set aside for minors (under 18) who appear in the vlogs. It also requires records of vlog numbers and compensation to be recorded and provided to the minor if requested.","Enacted","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB764","USA","California"
"6","AB1545","Children: internet safety: platform operators.",2021,"California, USA","North America","This bill enacts the Kids Internet Design and Safety Act for purposes of keeping children safe and protecting their interests on the internet. This includes imposing limitations to accessing certain content without parental permissions and require parental creation of accounts for children under 13.","Failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB1545","USA","California"
"7","AB1138","Social media: the Parent’s Accountability and Child Protection Act.",2019,"California, USA","North America","This bill requires social media companies to either verify that an individual is over 13 or obtain parental consent before allowing that individual to create an account on their website/application.","Failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1138","USA","California"
"8","AB3212","The Parent’s Accountability and Child Protection Act.",2019,"California, USA","North America","This bill requires social media companies to obtain opt-in parental consent that is separate from the Terms and Conditions before selling the personal information of a minor (defined as under 16).","Failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB3212","USA","California"
"9","AB2408","Social media platform: child users: addiction.",2021,"California, USA","North America","This bill prohibits social media companies from deploying any design, feature, or affordance that they know or should know to cause addiction to the platform for users under 18.","Failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2408","USA","California"
"10","AB2486","California Privacy Rights Act of 2020: Office for the Protection of Children Online.",2021,"California, USA","North America","This bill establishes the Office for the Protection of Children Online within the California Privacy Protection Agency (CPPA) to ensure that digital media available to children (under 18) protects their rights and physical and mental well-being.","Failed","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2486","USA","California"
"11","AB873","Pupil Instruction: media literacy: curriculum frameworks",2023,"California, USA","North America","This bill requires the Instructional Quality Commission to consider incorporating media literacy into English Language Arts/English Language Development (ELA/ELD) programs in grades 1-12. It requires the extension of this consideration to math, science, and social science in the 2024 revision of Model Library Standards.","Enacted","https://calmatters.digitaldemocracy.org/bills/ca_202320240ab873","USA","California"
"12","AB787","Pupil instruction: digital citizenship and media literacy: survey.",2023,"California, USA","North America","This bill requires the Superintendent of Public Instruction to work with the state board to survey teacher librarians, principals, and technology directors to understand how they are integrating media literacy into their curriculum. This bill also requires the superintendent to share that survey with an advisory committee they'll create and work with to develop recommendations for digital citizenship, internet safety, and media literacy.","Failed","https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A787&ciq=ncsl5&client_md=d17ec6fc28372953c0087bbb110d13e9&mode=current_text","USA","California"
"13","AB2876"," Pupil instruction: media literacy: artificial intelligence literacy: curriculum frameworks: instructional materials.",2023,"California, USA","North America","This bill requires the Instructional Quality Commission to consider the Model Library Standards, including media literacy content, in its criteria for evaluating instructional materials in ELA/ELD,  math, science, and the social science for grades 1-12.  Additionally, it requires the extension of this consideration to AI Literacy in the 2025 revision of Model Library Standards.","Enacted","https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2876&ciq=ncsl5&client_md=d0750a929e1a35419cb70e58e9e01cea&mode=current_text","USA","California"
"14","AB3216","Pupils: use of smartphones",2024,"California, USA","North America","This bill requires the governing body of a school district, a county office of education, or a charter school to develop and adopt a policy (updating it every 5 years) to limit or prohibit smartphone use while the pupils are at a school site or while the pupils are under the supervision and control of an employee or employees of that school district, county office of education, or charter school by July 1, 2026.","Enacted","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB3216","USA","California"
